ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,TimeStamp,DERAIL
22.28,15.66,45.85015,-0.80,0.13,0.13,-73.83,-32.60,-7.13,34.33,122.92,-53.07,1466606737.839026,0
22.28,15.66,45.85015,-0.77,-0.09,-0.22,-80.71,-10.07,2.72,12.14,114.38,-132.06,1466606737.957404,0
22.28,15.69,45.85015,-0.77,-0.09,-0.22,-80.71,-10.07,2.72,12.14,114.38,-132.06,1466606738.147236,0
22.28,15.69,45.85015,-0.77,-0.09,-0.22,-80.71,-10.07,2.72,12.14,114.38,-132.06,1466606738.407408,0
22.28,15.69,45.85015,-0.77,-0.09,-0.22,-80.71,-10.07,2.72,12.14,114.38,-132.06,1466606738.557378,0
22.28,15.69,45.85015,-0.77,-0.09,-0.22,-80.71,-10.07,2.72,12.14,114.38,-132.06,1466606738.817417,0
22.28,15.66,45.85015,-1.05,0.10,0.01,-96.89,-17.38,-11.46,40.92,72.85,-87.24,1466606739.127595,0
22.28,15.66,45.85015,-1.05,0.10,0.01,-96.89,-17.38,-11.46,40.92,72.85,-87.24,1466606739.237627,0
22.28,15.66,45.85015,-1.05,0.10,0.01,-96.89,-17.38,-11.46,40.92,72.85,-87.24,1466606739.345951,0
22.28,15.66,45.85015,-1.05,0.10,0.01,-96.89,-17.38,-11.46,40.92,72.85,-87.24,1466606739.639991,0
22.28,15.66,45.85015,-1.05,0.10,0.01,-96.89,-17.38,-11.46,40.92,72.85,-87.24,1466606739.797907,0
22.28,15.66,45.85015,-0.49,0.04,0.16,-84.03,4.01,5.91,2.40,71.35,-155.45,1466606740.047802,0
22.28,15.66,45.85015,-0.49,0.04,0.16,-84.03,4.01,5.91,2.40,71.35,-155.45,1466606740.232214,0
22.28,15.66,45.85015,-0.49,0.04,0.16,-84.03,4.01,5.91,2.40,71.35,-155.45,1466606740.452283,0
22.28,15.66,45.85015,-0.49,0.04,0.16,-84.03,4.01,5.91,2.40,71.35,-155.45,1466606740.662595,0
22.28,15.66,45.85015,-0.49,0.04,0.16,-84.03,4.01,5.91,2.40,71.35,-155.45,1466606740.762672,0
22.28,15.88,45.85015,-0.57,0.06,0.04,-0.58,-5.77,4.65,16.34,82.75,-122.62,1466606741.072915,0
22.28,15.88,45.85015,-0.57,0.06,0.04,-0.58,-5.77,4.65,16.34,82.75,-122.62,1466606741.152824,0
22.28,15.88,45.72808,-0.57,0.06,0.04,-0.58,-5.77,4.65,16.34,82.75,-122.62,1466606741.433143,0
22.28,15.88,45.72808,-0.57,0.06,0.04,-0.58,-5.77,4.65,16.34,82.75,-122.62,1466606741.683373,0
22.28,15.88,45.72808,-0.57,0.06,0.04,-0.58,-5.77,4.65,16.34,82.75,-122.62,1466606741.753305,0
22.28,15.88,45.72808,-1.14,-0.05,0.07,-97.30,8.93,0.87,13.64,134.01,-89.79,1466606741.973602,0
22.28,15.75,45.72808,-1.14,-0.05,0.07,-97.30,8.93,0.87,13.64,134.01,-89.79,1466606742.153602,0
22.28,15.75,45.72808,-1.14,-0.05,0.07,-97.30,8.93,0.87,13.64,134.01,-89.79,1466606742.353754,0
22.28,15.75,45.72808,-1.14,-0.05,0.07,-97.30,8.93,0.87,13.64,134.01,-89.79,1466606742.704103,0
22.28,15.75,45.72808,-0.93,-0.15,0.03,-84.55,10.64,5.31,56.66,93.69,-24.28,1466606742.912826,0
22.28,15.75,45.72808,-0.93,-0.15,0.03,-84.55,10.64,5.31,56.66,93.69,-24.28,1466606742.984661,0
22.28,15.69,45.72808,-0.93,-0.15,0.03,-84.55,10.64,5.31,56.66,93.69,-24.28,1466606743.324755,0
22.28,15.69,45.72808,-0.93,-0.15,0.03,-84.55,10.64,5.31,56.66,93.69,-24.28,1466606743.404669,0
22.28,15.69,45.72808,-0.93,-0.15,0.03,-84.55,10.64,5.31,56.66,93.69,-24.28,1466606743.734664,0
22.28,15.69,45.72808,-1.90,0.01,-0.10,9.28,-26.54,-3.18,69.10,95.49,-71.65,1466606743.834594,0
22.28,15.69,45.72808,-1.90,0.01,-0.10,9.28,-26.54,-3.18,69.10,95.49,-71.65,1466606744.044552,0
22.28,15.81,45.72808,-1.90,0.01,-0.10,9.28,-26.54,-3.18,69.10,95.49,-71.65,1466606744.153251,0
22.28,15.81,45.72808,-1.90,0.01,-0.10,9.28,-26.54,-3.18,69.10,95.49,-71.65,1466606744.404631,0
22.28,15.81,45.72808,-1.90,0.01,-0.10,9.28,-26.54,-3.18,69.10,95.49,-71.65,1466606744.614669,0
22.28,15.81,45.72808,-1.90,0.01,-0.10,9.28,-26.54,-3.18,69.10,95.49,-71.65,1466606744.854488,0
22.28,15.81,45.72808,-1.90,0.01,-0.10,9.28,-26.54,-3.18,69.10,95.49,-71.65,1466606745.064735,0
22.28,15.66,45.72808,-1.46,0.07,-0.11,-85.35,22.40,-5.28,38.97,61.61,-83.65,1466606745.264663,0
